target,1_b,1_o,1_x,2_b,2_o,2_x,3_b,3_o,3_x,4_b,4_o,4_x,5_b,5_o,5_x,6_b,6_o,6_x,7_b,7_o,7_x,8_b,8_o,8_x,9_b,9_o,9_x
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False
True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False
True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False
